,Tweets,cleanedTweets
10,For fun I calculated the correlation between $BTC and $ETH from 2018 until today. The result shows a 0.92 correlation which means that the two assets have a strong relationship. So this brings a question. Does diversification works in #Crypto ?,For fun I calculated the correlation between $BTC and $ETH from 2018 until today. The result shows a 0.92 correlation which means that the two assets have a strong relationship. So this brings a question. Does diversification works in Crypto ?
11,"A little more than one hour until today’s space with Luca Netz talking about all things Pudgy Penguins.

Set your reminders ⬇️. See ya soon 🤝
https://t.co/Dt2VXXpwlC",A little more than one hour until today’s space with Luca Netz talking about all things Pudgy Penguins.  Set your reminders ⬇️. See ya soon 🤝 
12,@cz_binance @boxmining @binance I've started crypto with @binance and never experienced any issues until today! Thank you for the great service and customer care 👍👍,   I've started crypto with  and never experienced any issues until today! Thank you for the great service and customer care 👍👍
13,Never had any issues with getting my crypto off the @krakenfx exchange until today. 🤦‍♂️I hope they ain’t going the way of FTX!,Never had any issues with getting my crypto off the  exchange until today. 🤦‍♂️I hope they ain’t going the way of FTX!
14,"@SneakFr86271587 Crypto adoption is up until today. Internet users isn’t, you don’t really need that data on the chart since the crypto users plot ends prior"," Crypto adoption is up until today. Internet users isn’t, you don’t really need that data on the chart since the crypto users plot ends prior"
15,How to become a millionaire if the crypto space and stock market   are always like this since Jan. 2022 until today Dec. 2022 how to recover the looses. Patient? https://t.co/Hk81v0lpy5,How to become a millionaire if the crypto space and stock market   are always like this since Jan. 2022 until today Dec. 2022 how to recover the looses. Patient? 
16,"Tweets until today is 16.7K tweets. Will try to stay off Twitter tmr, or hopefully the entire this EOY: 2022. See ya in 2023 #Crypto twitter family. We all need some well deserving time. @harmonyprotocol will come back stronger &amp; greater 💙 Yotta bullish on #HarmonyONE for ever! https://t.co/4POeRMfjgH","Tweets until today is 16.7K tweets. Will try to stay off Twitter tmr, or hopefully the entire this EOY: 2022. See ya in 2023 Crypto twitter family. We all need some well deserving time.  will come back stronger &amp; greater 💙 Yotta bullish on HarmonyONE for ever! "
17,"My bnb wallet got hacked. Whenever I send a amount above $100, there is a sweep robort automatically transferred to the hacker’s address. I didn’t noticed until today. They got me a few times in true past few days. Feel very sad and untrusted in this crypto world.","My bnb wallet got hacked. Whenever I send a amount above $100, there is a sweep robort automatically transferred to the hacker’s address. I didn’t noticed until today. They got me a few times in true past few days. Feel very sad and untrusted in this crypto world."
18,@10pw1000 @cryptocom Us neither until today a transaction didn’t arrived and we researched the issue.,  Us neither until today a transaction didn’t arrived and we researched the issue.
19,"How did you first become aware of crypto ?

If a friend hadn't told me about it 2 1/2 years ago, I would probably have slept through this groundbreaking sector until today.

I have never known an area that I am as passionate about as this one.","How did you first become aware of crypto ?  If a friend hadn't told me about it 2 1/2 years ago, I would probably have slept through this groundbreaking sector until today.  I have never known an area that I am as passionate about as this one."
20,I haven’t anticipated a project mint this year until today. @tferriss and @cockpunch are a sun-ray peaking through crypto-winter.,I haven’t anticipated a project mint this year until today.  and  are a sun-ray peaking through crypto-winter.
21,"@eurocbull1 @Tether_to Ahhhh usdt vs usdc now eurt vs euroc 😂 whats the hate wit tether? if u guys not holding a single coin from tether, hahaha tether been the first stablecoin in the crypto world until today","  Ahhhh usdt vs usdc now eurt vs euroc 😂 whats the hate wit tether? if u guys not holding a single coin from tether, hahaha tether been the first stablecoin in the crypto world until today"
22,@ahmedkaspan698 @BillyM2k Lesson learned. I hate the word Doge and I see so many tweets until today using MR Musk name again . The tweets today say Elon will give out Tesla crypto or whatever.,  Lesson learned. I hate the word Doge and I see so many tweets until today using MR Musk name again . The tweets today say Elon will give out Tesla crypto or whatever.
23,@CryptoFinally I never knew that word until today and I can agree. Those ladies are clearly not doing crypto. They are probably getting free bitcoin from richer nerds., I never knew that word until today and I can agree. Those ladies are clearly not doing crypto. They are probably getting free bitcoin from richer nerds.
24,"@TheMoonCarl @Davincij15 Here we see Mr. Runefelt 🤡, before he bought Bitcoin and Crypto he was the poor son of Millionaires only. Until today he uses his brothers disabilities (not in this video) to become famous. This guy makes me🤮","  Here we see Mr. Runefelt 🤡, before he bought Bitcoin and Crypto he was the poor son of Millionaires only. Until today he uses his brothers disabilities (not in this video) to become famous. This guy makes me🤮"
25,"Until today, you still can buy #Catvills with zero slippage

Contract :
0xa531a733070a5fF4866D1327d82e403Fa35290A6

Building #DeFi -&gt; Wallet &amp; Blockchain

Just in listing on 3 Nice Cexs including LATOKEN!

#Gems #Binance #BNB #ETH #1000xgem #altcoin #BSC #cryptocurrency #Crypto https://t.co/0y79g4p0CZ","Until today, you still can buy Catvills with zero slippage  Contract : 0xa531a733070a5fF4866D1327d82e403Fa35290A6  Building DeFi -&gt; Wallet &amp; Blockchain  Just in listing on 3 Nice Cexs including LATOKEN!  Gems Binance BNB ETH 1000xgem altcoin BSC cryptocurrency Crypto "
26,@crypto_notte @th_s4m0ht @BTC_Archive The fact is that law was that until today,   The fact is that law was that until today
27,For 3 years I used telegram for crypto. I had no clue it was being used for pornography and child exploitation until today when I clicked on telegram in twitters trending.  Post after post keep talking about cp and to come join their telegram groups. I keep reporting,For 3 years I used telegram for crypto. I had no clue it was being used for pornography and child exploitation until today when I clicked on telegram in twitters trending.  Post after post keep talking about cp and to come join their telegram groups. I keep reporting
28,"Purchased Another 2 #Bitcoin @cryptocom 
TOTAL HOLDING OF #BTC 44 Now 
Average Price of $10,880 
Which is lower then @MicroStrategy @saylor &amp; @Tesla 💎🙌 
Until Today My Biggest Investment Remains #CRO  
#Janish #Crypto https://t.co/ndChIlj7HF","Purchased Another 2 Bitcoin   TOTAL HOLDING OF BTC 44 Now  Average Price of $10,880  Which is lower then   &amp;  💎🙌  Until Today My Biggest Investment Remains CRO   Janish Crypto "
29,"At the time, this request highlighted the two different camps in Congress: one that believed new legislation was necessary &amp; the other that felt the agencies have adequate guidance already to regulate crypto.

Until today, @SenSherrodBrown was of the latter camp.","At the time, this request highlighted the two different camps in Congress: one that believed new legislation was necessary &amp; the other that felt the agencies have adequate guidance already to regulate crypto.  Until today,  was of the latter camp."
30,"Elite University crypto courses: NOVEMBER 30 PAYDAY SALE!
Our Black Friday sale has been extended only until today.

Take advantage of this promo while it lasts and make your payday worth it!
#PremiumPackage #BigSavings #PaydaySale #EliteUniversity https://t.co/UlbhmMZe6f",Elite University crypto courses: NOVEMBER 30 PAYDAY SALE! Our Black Friday sale has been extended only until today.  Take advantage of this promo while it lasts and make your payday worth it! PremiumPackage BigSavings PaydaySale EliteUniversity 
31,"Elite University crypto courses: NOVEMBER 30 PAYDAY SALE!
Our Black Friday sale has been extended only until today.

Take advantage of this promo while it lasts and make your payday worth it!
#PremiumPackage #BigSavings #PaydaySale #EliteUniversity https://t.co/yy0w4KZBdA",Elite University crypto courses: NOVEMBER 30 PAYDAY SALE! Our Black Friday sale has been extended only until today.  Take advantage of this promo while it lasts and make your payday worth it! PremiumPackage BigSavings PaydaySale EliteUniversity 
32,"Boyce Watkins 
https://t.co/WC2q1nUvSj
Candace Owens https://t.co/yUd3nGA8mU
Call Me Kinfolk 
All talking about the Crypto murders 🤔I mean deaths. I hadn't heard about this until today. https://t.co/3GiEubFkar",Boyce Watkins   Candace Owens  Call Me Kinfolk  All talking about the Crypto murders 🤔I mean deaths. I hadn't heard about this until today. 
33,"@OfficialTravlad It would be good to win here, until today I think I'm invisible 🍀😃
GL @carlosjcabeza @Danielrondshark @crypto_stig"," It would be good to win here, until today I think I'm invisible 🍀😃 GL   "
34,@truckdriverpleb @Bitboy_Crypto I didn’t know @Bitboy_Crypto was such a beauty until today! #Legendary.,  I didn’t know  was such a beauty until today! Legendary.
35,@crypto_cars12 @TATrader_Alan @StockmoneyL @MikybullCrypto @NikkiSc63939133 @AlemzadehC @thescalpingpro @FrankLambeek @el_crypto_prof @hailey_says_hi @CryptoYoddha Ohh nice. I was actually not aware of this until today when I out on the monthly and this MA...,           Ohh nice. I was actually not aware of this until today when I out on the monthly and this MA...
36,"Ppl had been asking my opinion on current market (Global, Fiat, Crypto, Web3) and this is what I think so far up until today

The bear market is getting worse every day.","Ppl had been asking my opinion on current market (Global, Fiat, Crypto, Web3) and this is what I think so far up until today  The bear market is getting worse every day."
37,"🔥Hi Bolide Fam,

Hurry &amp; join our trading competition with @LBank_Exchange!! You have until TODAY 11.25— 13:00 (UTC) TO WIN!! GO, GO!!

Trade, trade, and trade!!! 🤑

👉Trade: https://t.co/xoZuuUUNr9
👉Details: https://t.co/XYokemXMRo

#Bolide #BLID #prize #trading #crypto #win https://t.co/TIzhKWShEG","🔥Hi Bolide Fam,  Hurry &amp; join our trading competition with !! You have until TODAY 11.25— 13:00 (UTC) TO WIN!! GO, GO!!  Trade, trade, and trade!!! 🤑  👉Trade:  👉Details:   Bolide BLID prize trading crypto win "
38,is there any way to report an account that's been hacked? like I don't want to report it for the crypto spam I wanna report it for having clearly been stolen from the person who was posting on it until today,is there any way to report an account that's been hacked? like I don't want to report it for the crypto spam I wanna report it for having clearly been stolen from the person who was posting on it until today
39,"@JosephButcher80 @StarlingBank Until today... lol. They just banned us peasants from using crypto exchanges. They don't care if your legal and pay tax, you get lumped in with the money launderers. I'll be leaving them tomorrow.","  Until today... lol. They just banned us peasants from using crypto exchanges. They don't care if your legal and pay tax, you get lumped in with the money launderers. I'll be leaving them tomorrow."
40,"Mum: If he jumped off a cliff would you?
Young Me: No…

I’m not signing up to a social media platform that only works on my phone, never heard of until today and know nothing about, just because other people are 😅

This same policy is how I avoided getting scammed with crypto.","Mum: If he jumped off a cliff would you? Young Me: No…  I’m not signing up to a social media platform that only works on my phone, never heard of until today and know nothing about, just because other people are 😅  This same policy is how I avoided getting scammed with crypto."
41,@elonmusk how could you leave crypto scam to survive until today after acquiring Twitter?, how could you leave crypto scam to survive until today after acquiring Twitter?
42,"Crypto is a money laundering operation first, a ""sToRe oF WeAlTh And ValUe"" second. This was always the dark secret no one has been openly exploiting or talking about until today:

https://t.co/mXrdorUwWM","Crypto is a money laundering operation first, a ""sToRe oF WeAlTh And ValUe"" second. This was always the dark secret no one has been openly exploiting or talking about until today:  "
43,@shadmanmahmud60 @lookonchain Yeah biggest player in crypto will fall cus of some shitty altcoin noone has heard about until today...,  Yeah biggest player in crypto will fall cus of some shitty altcoin noone has heard about until today...
44,"Huge shoutout to the team, @gcashofficial, @zftribe, @ICPManila, @S6GlobalEx, @pgz_io, @TetrixNetwork, and all our other partners 🤝

An even bigger shoutout to everyone who has supported our mission for #blockchain and #crypto education up until today. Simula palang ‘to 🙏 https://t.co/0TTJ7Bl2Kd","Huge shoutout to the team, , , , , , , and all our other partners 🤝  An even bigger shoutout to everyone who has supported our mission for blockchain and crypto education up until today. Simula palang ‘to 🙏 "
45,"Until today, more than 50 million of the country's 270 million population has no access to improved #sanitation.

On this #WorldToiletDay, you can #help provide access to improved sanitation for Indonesian #children!  #donate your #Crypto and #NFT https://t.co/gsuMnHBBSy","Until today, more than 50 million of the country's 270 million population has no access to improved sanitation.  On this WorldToiletDay, you can help provide access to improved sanitation for Indonesian children!  donate your Crypto and NFT "
46,"New episode of our podcast “Blockchain Buzz” talking about whats going on in the crypto markets this past week up until today!

Check us out!: 
Spotify- https://t.co/esrMXV7tZh

Apple- https://t.co/JSTRVMDEFK

#cryptomarket #CryptocurrencyNews #blockchain #FTX #podcast",New episode of our podcast “Blockchain Buzz” talking about whats going on in the crypto markets this past week up until today!  Check us out!:  Spotify-   Apple-   cryptomarket CryptocurrencyNews blockchain FTX podcast
47,@Futurelabs_club open first day exhibit! Just way until today and Saturday. We building! #columbiasc #crypto #CryptoSouth #vistalights #NFT #FutureFriends https://t.co/VIM9WTW5ob, open first day exhibit! Just way until today and Saturday. We building! columbiasc crypto CryptoSouth vistalights NFT FutureFriends 
48,"Proof that the whole crypto sphere is scams is this guy being like ""4 years ago we knew they were frauds so I said nothing until today."" https://t.co/zQYbJobXnj","Proof that the whole crypto sphere is scams is this guy being like ""4 years ago we knew they were frauds so I said nothing until today."" "
49,"@Hamid97701840 22 years ago #crypto wasn't even around...or so we thought until today. 

But they were already planning to set up the exchanges and control the space.

Kind of helps explains the mystery behind who founded BTC too

#christalballexposures", 22 years ago crypto wasn't even around...or so we thought until today.   But they were already planning to set up the exchanges and control the space.  Kind of helps explains the mystery behind who founded BTC too  christalballexposures
50,"#bitcoin is now in a situation of DO OR DIE 

Means

$14K OR $19K 

🩸 My Opinion :- We need to hold until today candle closing &amp; need to recheck marketcap if it's more than $900B we expect BULL OR it can be worst 📌

✅What you think comments down👇

#cryptomarket #crypto #btc https://t.co/a9gdYAJ0D4",bitcoin is now in a situation of DO OR DIE   Means  $14K OR $19K   🩸 My Opinion :- We need to hold until today candle closing &amp; need to recheck marketcap if it's more than $900B we expect BULL OR it can be worst 📌  ✅What you think comments down👇  cryptomarket crypto btc 
51,"@Sigma_MGTOW @kleingabriel Please don’t forget #Saitama is the most fuded coin in crypto history until today, there are fake #Saitama pretenders attacking YouTubers &amp; promoters to silence them and they succeeded in majority, take example they attacked @cryptoal3rt unfortunately they lost C.Alert is SIMBA","  Please don’t forget Saitama is the most fuded coin in crypto history until today, there are fake Saitama pretenders attacking YouTubers &amp; promoters to silence them and they succeeded in majority, take example they attacked  unfortunately they lost C.Alert is SIMBA"
52,@jgonz1325 @Bitboy_Crypto Dey do same thing with USD it jst number on account when i tried to transfer my USD 5 days before dey file bankruptcy its not transfered yet n dey never sent any email or confirmation of transfer until today n SEC chair was meeting him to save consumers.. shame,  Dey do same thing with USD it jst number on account when i tried to transfer my USD 5 days before dey file bankruptcy its not transfered yet n dey never sent any email or confirmation of transfer until today n SEC chair was meeting him to save consumers.. shame
53,@el_crypto_prof You were bullish when BTC was at 68K and sharing reversal charts since then until today. I am telling you that BTC will make another low within a few days. Save my tweet., You were bullish when BTC was at 68K and sharing reversal charts since then until today. I am telling you that BTC will make another low within a few days. Save my tweet.
54,"Days price spent below the 2W baseline in bear markets:
1. 266d
2. 448d
3. 329d
4. until today 308d and Stoches are ready to go.

#Bitcoin $BTC #BTC #crypto $BTCUSD #BTCUSD $crypto https://t.co/GcoKHF9J9O",Days price spent below the 2W baseline in bear markets: 1. 266d 2. 448d 3. 329d 4. until today 308d and Stoches are ready to go.  Bitcoin $BTC BTC crypto $BTCUSD BTCUSD $crypto 
55,"@Crypto_bn ""Batik"" is a part of an ancient Javanese tradition and has been taught for centuries, the art of batik is most highly developed in Java and some of the best batiks in the world still made there until today"," ""Batik"" is a part of an ancient Javanese tradition and has been taught for centuries, the art of batik is most highly developed in Java and some of the best batiks in the world still made there until today"
56,"I’ve been using a cb credit card for a year, and I’ve gotten a ton of $crypto rewards. Every 30 days u need to select the coin u want to be rewarded in. Choices include $algo, $xlm, $eth, $btc and $matic. There has always been a 4% rewards option.  Until TODAY. Now only 1% reward","I’ve been using a cb credit card for a year, and I’ve gotten a ton of $crypto rewards. Every 30 days u need to select the coin u want to be rewarded in. Choices include $algo, $xlm, $eth, $btc and $matic. There has always been a 4% rewards option.  Until TODAY. Now only 1% reward"
57,"Only later I started to use other wallets and crypto exchanges and until today I like the one from Nimiq the most, it is still for me the best way to get fiat money in crypto or to send money to friends.","Only later I started to use other wallets and crypto exchanges and until today I like the one from Nimiq the most, it is still for me the best way to get fiat money in crypto or to send money to friends."
58,"@AndDoellinger @cryptocomcs @cryptocom Lucky you, I can't withdraw until today.
Seem they blocked me &amp; I don't know why","   Lucky you, I can't withdraw until today. Seem they blocked me &amp; I don't know why"
59,"@DGretta_Author Never heard of the word “polycule” until today. ""...A polyamorous relationship with multiple people — in a luxury penthouse with about 10 co-workers in the tax haven of the Bahamas, where his collapsed crypto exchange FTX was headquartered. https://t.co/rlwmkxTbRD"," Never heard of the word “polycule” until today. ""...A polyamorous relationship with multiple people — in a luxury penthouse with about 10 co-workers in the tax haven of the Bahamas, where his collapsed crypto exchange FTX was headquartered. "
60,"Not until today, nothing has pained me more about this whole FTX saga. At this point, I have a serious PTSD with any crypto leader called Sam or with abbreviations, SB.","Not until today, nothing has pained me more about this whole FTX saga. At this point, I have a serious PTSD with any crypto leader called Sam or with abbreviations, SB."
61,"@noluyoarkadsm @NY2LV22 @Amfernandes84 @Bitcoin @cryptocom Nope, NFT are, and if you can’t understand this until today isn’t my fault mr. blind mind… now go check for yourself where this 75B at let’s see… 🐑","     Nope, NFT are, and if you can’t understand this until today isn’t my fault mr. blind mind… now go check for yourself where this 75B at let’s see… 🐑"
62,@STC_BTC @shakepay @kucoincom @cryptocom I only have an account because a friend of mine last year made one for me. I got the visa card but never activated it... Haven't really used it until today when i tried to do a withdrawal. I used to use Binance until it got banned in Ontario. I primarily use Samurai and blue,    I only have an account because a friend of mine last year made one for me. I got the visa card but never activated it... Haven't really used it until today when i tried to do a withdrawal. I used to use Binance until it got banned in Ontario. I primarily use Samurai and blue
63,@_followingmoney @kris @cryptocom Who the heck are these “influencers”? I'm in crypto since 2010 ish and haven't heard a thing about them until today.,   Who the heck are these “influencers”? I'm in crypto since 2010 ish and haven't heard a thing about them until today.
64,@Bitboy_Crypto @cryptocom And until today you had lots of funds on exchange? Guys what is wrong with you? You keep saying one thing but all big players have 50% of net worth on exchanges. Too confident?,  And until today you had lots of funds on exchange? Guys what is wrong with you? You keep saying one thing but all big players have 50% of net worth on exchanges. Too confident?
65,"@ben_kew Dump crypto. Classic Bernie Madoff scheme. Attract investors based on greed. Did anyone ask how he came up with the evaluation? Up until today no one can answer my question, not even Wharton professors. When will people learn? He’s going to jail. https://t.co/eUBdGuILV5"," Dump crypto. Classic Bernie Madoff scheme. Attract investors based on greed. Did anyone ask how he came up with the evaluation? Up until today no one can answer my question, not even Wharton professors. When will people learn? He’s going to jail. "
66,"@MMCrypto two days ago I tried to withdraw my sol and bnb from ftx but I had no idea if they closed the withdrawing dor, and until today I have never recieved my crypto, this is really sad because I saved all of my money on ftx exchange :(  I really need that money to go to university."," two days ago I tried to withdraw my sol and bnb from ftx but I had no idea if they closed the withdrawing dor, and until today I have never recieved my crypto, this is really sad because I saved all of my money on ftx exchange :(  I really need that money to go to university."
67,"Might sound weird but i never knew why @cz_binance is called CZ until today when i saw his full name. I have been into crypto for 1 year but found his complete name today and i really love how it's gets pronounced. Kinda gives some movie vibes
Changpeng Zhao.. 😎",Might sound weird but i never knew why  is called CZ until today when i saw his full name. I have been into crypto for 1 year but found his complete name today and i really love how it's gets pronounced. Kinda gives some movie vibes Changpeng Zhao.. 😎
68,@jimcramer Club Member - Listen and read all you put out. I have never turned off a show until today Can you start talking about the stock market?  Crypto??? Who cares? Only losers, Club Member - Listen and read all you put out. I have never turned off a show until today Can you start talking about the stock market?  Crypto??? Who cares? Only losers
69,"@OluadeSwan @hahau7482901 @PeterPandaNFT @avallak1 @HlaPyae11 @QiqiFire @QuadroPunksNEAR @Maleekmuzik @iamnotDR @kingnnaji11 @Yanni2003mine @exlead Sorry Bro. I would love to learn web3 development (I'll do it). But I don't invest on crypto-currences. I did it on the past ando it was a bad experience. Money Losts don't compensated the Money Back. A big lack of good yearly returns and intereses gained. Too risks, until today.","            Sorry Bro. I would love to learn web3 development (I'll do it). But I don't invest on crypto-currences. I did it on the past ando it was a bad experience. Money Losts don't compensated the Money Back. A big lack of good yearly returns and intereses gained. Too risks, until today."
70,A theory I haven't thought of until today with $TSLA. Elon brought interest to many crypto investors and many follow him and likely bought $TSLA shares to support his following. Those that are suffering in crypto right now could be liquidating Tesla shares to cover Crypto losses. https://t.co/HEwJdvKems,A theory I haven't thought of until today with $TSLA. Elon brought interest to many crypto investors and many follow him and likely bought $TSLA shares to support his following. Those that are suffering in crypto right now could be liquidating Tesla shares to cover Crypto losses. 
71,"@TheYear20XX well, it was a crypto currency until today"," well, it was a crypto currency until today"
72,"Turned 26 today. Feeling blessed having good people around me and being healthy .
Happy for the things that i achieved until today and looking forward to the future. #BTC #crypto 
Happy Birthday to me 🎂🥰 Good vibes only https://t.co/kqtDYyoRoO",Turned 26 today. Feeling blessed having good people around me and being healthy . Happy for the things that i achieved until today and looking forward to the future. BTC crypto  Happy Birthday to me 🎂🥰 Good vibes only 
73,@cryptocom  any news about Gala? Until today transfer is not allowed with that coin,  any news about Gala? Until today transfer is not allowed with that coin
74,"Hello sir Steve @Steve_eth01, i was informed by @MiguelViola478 that you would be able to recover my losses in crypto. I knew crypto since a year ago, but have already lost nearly $10k from  until today. Look forward if you are really able to help me","Hello sir Steve , i was informed by  that you would be able to recover my losses in crypto. I knew crypto since a year ago, but have already lost nearly $10k from  until today. Look forward if you are really able to help me"
75,"@SenWarren @SECGov Under Gary, we saw FTX, Celsius, 3Arrows, Luna failures and he spent his time going after Ripple XRP which is safe asset for investors. until today there is no Crypto regulations. only regulation by enforcement. You need to fire SEC chair for incompetency and failure on his job","  Under Gary, we saw FTX, Celsius, 3Arrows, Luna failures and he spent his time going after Ripple XRP which is safe asset for investors. until today there is no Crypto regulations. only regulation by enforcement. You need to fire SEC chair for incompetency and failure on his job"
76,@crypto_bitlord7 Waking up in the morning to the DAO being drained was my worst day...until today!!, Waking up in the morning to the DAO being drained was my worst day...until today!!
77,"@WhyFudBro @CryptoGodJohn no way this happens. i was pretty hopeful up until today, but 8 bn now without cz is pretty much impossible given the apparent state of ftx and the tight monetary politics. and don't even worry about a bounce because no institution will touch crypto for a while now.","  no way this happens. i was pretty hopeful up until today, but 8 bn now without cz is pretty much impossible given the apparent state of ftx and the tight monetary politics. and don't even worry about a bounce because no institution will touch crypto for a while now."
78,"I’d blissfully never heard of FTX until today, and boy sure seems the crypto people are speedrunning pre-New-Deal banking in the span of like 4 years https://t.co/OYuXZQAAOV","I’d blissfully never heard of FTX until today, and boy sure seems the crypto people are speedrunning pre-New-Deal banking in the span of like 4 years "
79,"@qcapital2020 What Pomp said isn't wrong.  Until today's carnage, BTC was more stable than most of Nasdaq stocks, certainly better than high beta ones.  We just witnessed Lehman + Bearn Sterns of Crypto.  Crypto IS an asset that deserves some exposure."," What Pomp said isn't wrong.  Until today's carnage, BTC was more stable than most of Nasdaq stocks, certainly better than high beta ones.  We just witnessed Lehman + Bearn Sterns of Crypto.  Crypto IS an asset that deserves some exposure."
80,@Ashcryptoreal We buy the dip all year and then we regret buying anything until today...there's no such thing as the early bird gets the worm in crypto.., We buy the dip all year and then we regret buying anything until today...there's no such thing as the early bird gets the worm in crypto..
81,"Crypto has been a great chapter of my life, mostly painful and rough, can’t even get over of this awful feeling even until today. At least it has changed my perspective and idea when I’m transiting towards trading. However still got fked.","Crypto has been a great chapter of my life, mostly painful and rough, can’t even get over of this awful feeling even until today. At least it has changed my perspective and idea when I’m transiting towards trading. However still got fked."
82,@TommyCryptoland @crypto_bitlord7 Was good until today shitstorm....max pain today for sure since I am not a trader and just buy and HODL for the long term 5 to 7 years. https://t.co/PciLqV8YjA,  Was good until today shitstorm....max pain today for sure since I am not a trader and just buy and HODL for the long term 5 to 7 years. 
83,"@Mr_Derivatives What do you mean by overdue? Genuinely curious, for the most part the crypto market was crawling around the lows with diminished volatility until today. People were ecstatic about the 10% post Halloween rally which is essentially nothing in this space."," What do you mean by overdue? Genuinely curious, for the most part the crypto market was crawling around the lows with diminished volatility until today. People were ecstatic about the 10% post Halloween rally which is essentially nothing in this space."
84,"@duediligenceguy Yes. Cryptos had been moving slowly upwards correlating with broader markets, and the drop in DXY. The last lows in the broader market crypto just chopped sideways, uncharacteristically less volatile until today’s shit hit the fan. I was happy to see a higher high in silver. 💪🏻"," Yes. Cryptos had been moving slowly upwards correlating with broader markets, and the drop in DXY. The last lows in the broader market crypto just chopped sideways, uncharacteristically less volatile until today’s shit hit the fan. I was happy to see a higher high in silver. 💪🏻"
85,"@ROTKofstonks Not long until today, so not bagholding.. but they only have a $300 mil loan backed by crypto on BS. And I say ""only"" because they have $1.184 bil of tangible equity as of 9/30. https://t.co/A4LlTlDDh5"," Not long until today, so not bagholding.. but they only have a $300 mil loan backed by crypto on BS. And I say ""only"" because they have $1.184 bil of tangible equity as of 9/30. "
86,SBF was like a crypto-god until today when his empire had to be rescued from his arch-rival CZ of Binance. Easily the biggest story in crypto this year. Check out our piece from @kevobt hot off the presses: https://t.co/SKq7Q4mFs5,SBF was like a crypto-god until today when his empire had to be rescued from his arch-rival CZ of Binance. Easily the biggest story in crypto this year. Check out our piece from  hot off the presses: 
